OrderID,CustomerID,CustomerName,Gender,Age,City,Category,ProductName,Quantity,UnitPrice,ShippingCost,TotalAmount,ShippingMethod,Platform,OrderDate,DeliveryDate,DeliveryDays,OrderStatus,Rating,ReturnStatus
40023,CUST0881,Customer_568,Male,31,Pune,Sports,Product_35,1,₹34922.01,-272.14,₹35194.15,Same Day,Mobile Web,27-01-2023,28-01-2023,1,Processing,3,Returned
40024,CUST1824,Customer_373,Female,62,Mumbai,Health,Product_171,10,₹10386.92,-393.41,104262.61,Standard,Mobile Web,14-05-2022,28-05-2022,14,Processing,,Not Returned
40025,CUST2612,Customer_627,Male,20,Lucknow,Grocery,Product_99,-2,,341.22,₹33963.38, Standard ,Website,23-05-2024,45418,13,Delivered,5,Not Returned
40026,CUST0778,Customer_761,Female,68,Surat,Clothing,Product_136,5,₹43187.07,449.54,₹216384.89, Standard ,App,45530,45540,10,,1,not returned
40027,CUST2282,Customer_884,Male,44,Surat,Clothing,Product_11,4,₹33576.06,30.37,₹134334.61,Same Day,Mobile Web,14/12/2022,44918,9,Cancelled,1,Not Returned
40028,CUST0065,Customer_184,Male,40,Surat,Sports,Product_139,1,₹998.49,123.06,₹1121.55,Express,App,28/08/2024,45547,15,Processing,3,Returned
40029,CUST2239,Customer_936,Male,25,Surat,,Product_97,10,₹3964.28,257.71,₹39900.51,Express,Mobile Web,44803,44816,13,Processing,2,Not Returned
40030,CUST2677,Customer_824,Male,22,,Sports,,2,₹17538.54,5.95,₹35083.03,Same Day,App,44714,,15,Processing,2,NOT RETURNED
40031,CUST2648,Customer_415,Female,26,Mumbai, Sports ,Product_18,4,₹17588.65,81.34,₹70435.94,Same Day,Mobile Web,23-06-2022,44780,15,Returned,3,not returned
40032,CUST2103,Customer_518,Female,60,Delhi,Clothing,Product_128,3,₹63513.49,264.1,₹190804.57,Overnight,Website,18/06/2023,45101,6, Returned ,1,Not Returned
40033,CUST0073,,Male,53,Pune,Furniture,Product_138,-10,₹42566.14,496.41,₹426157.81,Standard,App,45217,23/10/2023,5,Returned,2,
40034,CUST1297,Customer_94,Male,56,Mumbai,Books,Pr#duct_140,5,₹68130.66,353.83,₹341007.13,Standard,Website,16/08/2023,22-08-2023,6,Cancelled,5,Returned
40035,CUST2554,Customer_231,Female,37,Bangalore,Grocery,Product_80,2,₹39619.32,268.14,₹79506.78,Standard,App,17-08-2023,45160,5,Returned,5,Not Returned
40036,CUST2429,Customer_123,Female,30,Delhi,Automotive,Pr@duct_95,10,₹43741.03,258.66,₹437668.96,Standard,App,45224,45027,10,Processing,4,Returned
40037,CUST2344,Customer_815,Male,57,Surat, Furniture ,Product_20,3,₹47084.42,157.42,₹141410.68,Standard,Mobile Web,45008,,6, Delivered ,5,Not Returned
40038,CUST0803,Customer_202,Female,35,Bangalore,Beauty,Product_198,10,₹32642.05,3.46,₹326423.96,,Mobile Web,44998,18/03/2023,5,Cancelled,1,NOT RETURNED
40040,CUST0963,Customer_759,Female,29,Bangalore,Grocery,Product_132,10,₹17584.02,420.68,₹176260.88,Overnight,Website,45043,45051,8,,2,Not Returned
40041,CUST1335,  Customer_513  ,Male,22,Hyderabad,Furniture,Product_25,7,,159.03,₹144322.77,,Mobile Web,28/11/2022,,13,Cancelled,5,Not Returned
40042,CUST1892,Customer_604,Male,30,Delhi,Automotive,Product_33,-9,₹71391.12,119.23,642639.31,Standard,Mobile Web,45269,45271,2,Returned,4,Not Returned
40043,CUST1692,,Female,60,Lucknow,Furniture,Product_125,6,₹13215.46,425.01,₹79717.77,Standard,Website,21/10/2022,30-10-2022,9,Cancelled,5,Returned
40044,CUST2074,Customer_191,Female,42,Delhi,Beauty,Product_97,3,₹75999.34,225.48,₹228223.50,Express,Website,45475,45334,5,Pending,,Not Returned
40045,CUST2644,Customer_119,Female,18,Pune,Health,Product_7,4,₹55200.71,492.58,₹221295.42,Standard,Website,TBD,45351,7, Delivered ,4,Not Returned
40047,CUST1532,Customer_360,Male,-68,Kolkata,Electronics,Product_182,7,₹63219.03,464.55,₹442997.76,Same Day,Mobile Web,19/08/2024,45526,3,Cancelled,3, Not Returned 
40048,CUST2095,Customer_333,Female,20,Kolkata,Toys,Product_70,,₹38829.61,254.88,₹349721.37,Overnight,,44777,44671,12,Cancelled,5,
40049,CUST2427,Customer_312,Male,29,Lucknow,Health,Product_125,4,,221.07,₹134346.83,Express,Website,45207,45179,1,Returned,5,not returned
40050,CUST0256,Customer_110,Female,49,Surat,Furniture,Product_181,6,₹11612.01,114.66,69786.72,Overnight,App,73050,,7, Processing ,5,Not Returned
40051,CUST0387,Customer_307,Female,24,Kolkata,Electronics,Product_183,7,₹67279.25,245.56,471200.31,Express,,,26/01/2023,15,Delivered,2,Not Returned
40052,CUST1743,,Male,32,,Books,Product_139,5,₹5165.85,92.8,₹25922.05,Overnight,Mobile Web,45483,23/07/2024,13,Cancelled,1,Not Returned
40053,CUST2592,Customer_184,Female,31,Lucknow,Clothing,Product_93,5,₹60677.86,391.15,₹303780.45,Standard,Mobile Web,45100,45104,4,Returned,,Not Returned
40054,CUST0470,Customer_78,Female,52,Lucknow,Beauty,Product_179,9,,236.2,₹164658.37,Express,App,29-10-2022,44867,4,Cancelled,5,Not Returned
40055,CUST2549,Customer_253,Male,50,,Beauty,Product_128,10,₹58868.04,441.1,₹589121.50,Overnight,App,45087,45092,5,,5,Not Returned
40056,CUST0576,Customer_268,Male,,Lucknow, Electronics ,Product_47,2,57514.96,186.81,₹115216.73,Overnight,Website,30/11/2022,44877,11,Pending,4,Not Returned
40057,CUST2932,Customer_937,Female,33,Jaipur,Books,Product_17,9,₹66054.69,316.85,₹594809.06,Standard,App,44590,44563,3,Cancelled,1,Returned
40059,CUST2286,Customer_324,Male,25,Pune,Grocery,Product_73,2,₹11883.03,393.87,₹158107.86,Same Day,Website,45270,24/10/2023,12,Delivered,4,
40060,CUST0524,Customer_84,Female,43,Pune,Grocery,,5,₹26048.15,493.87,₹130734.62,Overnight,Website,45202,45209,7,Processing,,Not Returned
40061,CUST0070,Customer_88,Female,-65,Mumbai,Furniture,Product_57,10,₹3249.78,183.93,₹32681.73,Overnight,Website,44683,TBD,10,Returned,3,Not Returned
40062,CUST0301,Customer_131,Female,55,Kolkata,Grocery,Product_90,2,₹48667.16,419.11,₹97753.43,Standard,Website,16/08/2023,45157,3, Processing ,5,Not Returned
40063,CUST0127,Customer_32,Female,70,Jaipur,Electronics,Product_111,9,₹77876.70,333.45,₹701223.75,Same Day,Website,45069,44963,10,Processing,3,Not Returned
40064,CUST1576,  Customer_273  ,Male,31,Lucknow, Health ,Pr@duct_195,2,₹36588.08,158.03,₹73334.19,Overnight,Website,20-12-2022,44928,13,Cancelled,2,Not Returned
40065,CUST0409,Customer_785,Male,50,,Toys,Product_110,5,₹50506.42,43.91,₹252576.01,Standard,Website,21/09/2022,22/09/2022,1,Delivered,4,Not Returned
40066,CUST1375,Customer_349,Male,36,Surat,Clothing,Product_55,7,₹24755.76,355.3,₹173645.62,Express,Mobile Web,45023,,13,Delivered,3,Not Returned
40067,CUST1863,Customer_877,Female,65,Mumbai,Books,Product_75,5,₹26126.54,398.55,₹131031.25,Overnight,App,28-06-2022,not-a-date,7,Processing,5,Not Returned
40068,CUST0971,Customer_859,Female,37,Jaipur,Grocery,Product_3,5,₹28803.45,104.58,₹144121.83,Standard,Mobile Web,45506,45518,12,Cancelled,4,Not Returned
40069,CUST0738,Customer_34,Female,69,Bangalore,Toys,Product_43,9,₹10775.83,81.02,₹97063.49,Same Day,App,44662,17/11/2022,13,Cancelled,,Not Returned
40070,CUST0812,Customer_58,Male,67,Jaipur,Beauty,Product_4,6,₹55128.75,296.96,331069.46,Same Day,App,44683,,4,Returned,4,not returned
40071,CUST1669,Customer_413,Male,19,Hyderabad,Sports,,8,₹40813.34,90.49,₹326597.21,,Website,45428,45434,6,Pending,2,Not Returned
40072,CUST1448,Customer_671,Male,37,Lucknow,Electronics,Product_154,6,₹22660.84,154.43,₹136119.47,,Website,45607,45608,1,,,Not Returned
40073,CUST2470,Customer_274,Female,39,  Chennai  ,Electronics,Product_60,9,₹1742.87,329.21,₹16015.04,Same Day,Mobile Web,22/12/2024,28/12/2024,6,,2,Not Returned
40074,CUST1347,Customer_297,Female,48,Surat,Beauty,Product_142,9,₹9896.25,96.36,₹89162.61,Overnight,App,45241,45271,1,Processing,2,Not Returned
40075,CUST0076,Customer_898,Male,43,Pune, Beauty ,Product_167,10,₹38555.06,369.7,, Overnight ,Mobile Web,45123,31/07/2023,15,Processing,3,Not Returned
40076,CUST2215,Customer_132,Female,53,Pune,Electronics,Product_91,6,31536.69,29.74,₹189249.88,Same Day,App,44674,44677,3,Delivered,1,Not Returned
40077,CUST0205,Customer_459,Female,53,Mumbai,Sports,,5,₹77893.73,424.75,389893.4,Express,Mobile Web,44812,44786,4,Returned,1,returned
40078,CUST0428,Customer_880,,38,Jaipur,Toys,Product_83,6,₹22065.54,11.89,₹132405.13,Express,Website,45532,31-08-2024,3,Cancelled,4,returned
40079,CUST2146,Customer_683,Male,20,Hyderabad,Toys,Product_176,7,₹20663.22,467.35,₹145109.89,Standard,Mobile Web,45390,45403,13,Delivered,5,Not Returned
40080,CUST1792,Customer_838,Female,,Hyderabad,,Pr#duct_147,8,₹57284.28,60.46,₹458334.70,Same Day,App,45589,26/10/2024,2,Returned,2,Returned
40081,CUST1398,Customer_601,Male,59,Jaipur,Sports,Product_133,2,₹74017.41,83.69,₹148118.51,Express,,45005,26/03/2023,6,Processing,3,Not Returned
40082,CUST1968,Customer_139,Female,64,,Electronics,Product_132,3,,470.37,₹101007.48,Overnight,Mobile Web,16-02-2022,20-02-2022,4,Pending,2,Returned
40084,CUST2670,  Customer_195  ,Male,33,Lucknow,Health,Product_68,6,₹34341.62,394.35,₹206444.07,Express,App,44832,TBD,2, Delivered ,5,Not Returned
40085,CUST2260,Customer_965,Male,50,Hyderabad,Electronics,Product_149,8,₹8531.60,11.32,₹68264.12,Same Day,App,13/07/2024,45491,5,Delivered,2,Not Returned
40086,CUST2172,Customer_395,Male,-43,Delhi, Health ,Product_190,6,66372.25,125.93,₹398359.43,Same Day,Website,TBD,15/11/2024,4,Returned,2,Returned
40087,CUST2240,,Female,25,Pune,Beauty,Product_24,,₹54773.39,239.5,₹93856.52,Overnight,Website,73050,45065,7,Cancelled,2,Returned
40088,CUST2613,Customer_462,Male,68,Chennai,Toys,Product_146,6,₹25265.83,33.8,₹151628.78,Express,App,23-10-2023,26/10/2023,3,,1,Returned
40089,CUST0619,Customer_503,Male,66,  Pune  ,Grocery,Product_195,9,₹72804.24,473.41,₹655711.57,Express,Mobile Web,24-05-2022,44715,10,,4,Not Returned
40090,CUST2972,Cu#tomer_296,Male,62,Chennai,Furniture,Product_108,10,₹9565.48,463.85,₹96118.65,Overnight,Mobile Web,45320,45323,3,Returned,2,Returned
40091,CUST2098,Customer_435,Male,66,Pune,Toys,Product_151,5,,316.91,₹122693.66,Same Day,App,45273,,12,Returned,,Not Returned
40092,CUST0551,Customer_175,Female,,Jaipur,Grocery,Product_45,3,₹62294.49,17.68,₹186901.15,Overnight,App,44753,44766,13,Delivered,4,Not Returned
40093,CUST2451,Customer_211,Female,23,Chennai,Clothing,Product_63,2,₹18644.95,256.47,37546.37,Overnight,App,45237,45132,14,Cancelled,,Not Returned
40094,CUST2817,Customer_81,Male,43,Delhi,Sports,Product_9,8,₹4886.57,363.21,₹39455.77,Express,Mobile Web,45232,45240,8,Processing,5,Not Returned
40095,CUST2845,Customer_695,Female,23,Surat,Beauty,Product_28,1,₹53515.08,294.98,₹53810.06,Standard,App,45119,45130,11,Pending,1,Returned
40096,CUST0299,Customer_758,Female,41,Lucknow,Health,Product_59,6,₹57534.19,431.22,₹345636.36, Overnight ,,45581,TBD,3,Processing,1,NOT RETURNED
40100,CUST0620,Customer_772,Male,55,Kolkata,Beauty,Product_148,7,₹51034.80,88,357331.6,,,45029,45030,1,Pending,3,Not Returned
40102,CUST0623,Cu@tomer_555,Female,59,,Toys,Product_110,2,69977.04,132.45,₹140086.53,,App,45207,14-10-2023,6,Pending,,Not Returned
40103,CUST1176,Customer_760,Male,46,Kolkata,Furniture,Product_151,9,₹41635.85,382.46,₹375105.11,Same Day,Website,44902,44914,12,Returned,1,Not Returned
40104,CUST0538,  Customer_600  ,Female,63,Mumbai,Books,Product_133,1,₹2748.36,401.84,₹3150.20,Standard,Website,44746,44661,3,Cancelled,4,Not Returned
40105,CUST1156,Customer_632,Female,54,Lucknow,Toys,Product_74,6,₹24585.27,468.74,₹169655.19,Overnight,App,N/A,44718,3,Cancelled,2,Not Returned
40106,CUST1271,Customer_30,,33,Lucknow,Sports,Product_53,10,₹33555.40,277.89,₹335831.89,Standard,Mobile Web,73050,44769,10,Cancelled,5, Returned 
40108,CUST2175,Customer_463,Male,64,Bangalore,Automotive,Product_121,1,₹37947.97,461.54,₹38409.51,Overnight,,44951,,1,Processing,5,Not Returned
40109,CUST2000,Customer_888,Female,38,Pune,Beauty,Product_7,2,,43.95,₹40435.89,Same Day,App,44764,26-07-2022,4,Delivered,1,not returned
40110,CUST1874,Customer_592,Female,23,Lucknow,Clothing,Product_158,9,₹51670.47,311.2,₹465345.43,Overnight,App,45130,45142,12,Processing,5,Not Returned
40111,CUST2569,Customer_395,Male,21,Kolkata,Electronics,Product_163,,₹44660.05,168.77,₹268129.07,Express,Mobile Web,44722,44848,8,Processing,4,Not Returned
40112,CUST2213,Customer_345,Male,26,Jaipur,Health,Product_162,2,₹11753.27,125.4,₹184284.71, Express ,Website,45257,29/11/2023,2,Returned,4,Returned
40113,CUST2678,Customer_956,Female,47,  Bangalore  ,Toys,Product_66,7,₹32567.29,240.83,₹228211.86,Same Day,Website,45147,45180,3,Returned,2,Not Returned
40114,CUST2577,Customer_242,Female,47,Mumbai,Grocery,Product_52,1,₹64909.49,160.71,₹124042.73,Same Day,App,,44968,13,Returned,5,Not Returned
40115,CUST2060,Customer_380,Female,39,Surat, Grocery ,,3,₹35659.78,482.72,,Same Day,Mobile Web,44621,,8,Delivered,73, Not Returned 
40116,CUST0417,Customer_820,Female,21,Hyderabad,,Product_12,10,₹14023.13,168.31,₹140399.61,Same Day,App,29/04/2022,13-05-2022,14, Cancelled ,1,Not Returned
40117,CUST0396,Customer_932,Female,59,Jaipur,Sports,Product_75,5,₹18697.51,226.23,₹93713.78,Overnight,Mobile Web,44939,44951,12,Delivered,2,Not Returned
40119,CUST0936,Customer_51,Male,36,Lucknow,Clothing,Product_71,6,₹11911.36,169.31,₹71637.47, Express ,Mobile Web,26/12/2023,45288,2,Cancelled,2,Not Returned
40120,CUST0193,Customer_235,Female,28,Kolkata,Automotive,Product_158,1,₹6631.48,192.24,,Express,,44870,20-11-2022,15,Delivered,5,NOT RETURNED
40121,CUST0023,Cu@tomer_632,Female,70,Mumbai,,Product_196,8,₹23831.39,112.9,₹190764.02,Standard,App,45529,45542,13,Cancelled,4,Returned
40122,CUST0581,Customer_998,Female,37,Jaipur,Sports,Product_49,7,₹51192.19,69.56,,Standard,App,45490,19/07/2024,2,Processing,3,
40123,CUST1554,Customer_662,Male,46,Lucknow,Electronics,Product_90,3,₹46493.83,124.04,₹139605.53,Standard,Website,27/06/2023,45106,2,Pending,5,RETURNED
40124,CUST1547,Customer_605,Female,62,Mumbai,,Product_82,4,₹21453.92,127.31,₹85942.99,Overnight,Mobile Web,45204,19-05-2023,9,Processing,2,Not Returned
40126,CUST2271,Customer_695,Female,65,Surat,Toys,Product_73,8,₹59651.88,-240.15,₹477455.19,Standard,Website,45591,45598,7,Pending,3,RETURNED
40127,CUST1697,Customer_124,,66,Chennai,Books,Product_182,6,₹9192.14,57.81,,Same Day,Mobile Web,45302,45362,2,Delivered,2, Not Returned 
40128,CUST2594,Customer_480,Female,49,Jaipur,Clothing,Product_72,1,₹3965.46,141.36,₹4106.82,Same Day,,45091,45102,11,Pending,2, Not Returned 
40129,CUST1272,  Customer_793  ,Female,45,,Automotive,Product_139,4,₹60761.16,266.59,₹87411.55,Same Day,App,45501,45481,10, Delivered ,,Not Returned
40130,CUST0079,Cu@tomer_381,Male,59,Surat,Automotive,Product_151,8,₹39051.74,494.27,₹312908.19,,Website,45413,45417,4,,1,Not Returned
40131,CUST0034,Customer_538,Female,,Kolkata,Beauty,Product_137,7,₹7049.02,53.9,₹49397.04,Same Day,App,23-03-2023,45011,3,Returned,-4,not returned
40132,CUST1107,Customer_590,,19,Surat,Clothing,Product_179,4,₹54611.96,272.87,₹218720.71,Same Day,Website,44984,,9,Processing,2,Not Returned
40133,CUST0008,Customer_619,Female,51,Kolkata, Electronics ,Product_5,5,₹67417.13,331.25,₹337416.90,Same Day,Website,21-10-2024,45594,8,Cancelled,2,Not Returned
40134,CUST1418,,Male,28,Pune,Automotive,Product_130,5,₹76420.66,238.94,₹8680.11,Same Day,App,,TBD,8,Cancelled,3,Not Returned
40135,CUST1903,Customer_892,Female,55,Pune,Toys,Product_74,5,₹16979.39,160.94,₹85057.89,Same Day,App,44896,13/12/2022,12,Returned,2,Not Returned
40136,CUST2626,Customer_906,Female,51,Chennai,Toys,Product_26,2,₹37043.13,181.02,,Express,App,45297,19-01-2024,13,Pending,4,
40137,CUST2317,Customer_763,Female,61,Delhi,Furniture,Product_54,,22651.86,151.96,₹22803.82,Overnight,App,27/02/2022,44595,3,Processing,3,Returned
40138,CUST0065,Customer_624,Male,68,Surat,Automotive,Product_167,3,₹33709.81,460.2,₹101589.63,Overnight,App,44797,44799,2,Processing,2,Not Returned
40139,CUST0339,,Male,41,Mumbai,Clothing,Product_182,5,23109.24,111.23,₹115657.43,Express,Website,20/05/2022,44702,1,Pending,-4,Not Returned
40140,CUST1560,Customer_883,Male,68,Surat,Grocery,Product_97,2,₹69403.37,324.97,₹139131.71,Same Day,App,45007,26-03-2023,4,Cancelled,,
40141,CUST0530,Customer_427,Female,25,Kolkata,Grocery,Product_49,6,,225.62,329026.04,Standard,App,45210,45241,1,Processing,4,Not Returned
40142,CUST1914,Customer_682,Female,61,Bangalore,Clothing,Product_168,5,₹49357.28,220.88,₹103516.44,Same Day,App,TBD,45597,4,,2,Not Returned
40143,CUST1730,Customer_214,Male,54,Delhi,Health,Product_49,10,₹36954.34,48.33,₹369591.73,Overnight,App,45482,23-07-2024,14,Processing,4,Returned
40144,CUST2100,Customer_346,,50,Chennai,Grocery,Product_139,7,₹54926.25,178.77,,Overnight,Website,45147,14/09/2023,6,Processing,3,Returned
40145,CUST2670,Customer_908,Female,64,Lucknow,Health,Product_87,7,₹20308.99,182.83,₹142345.76,Same Day,Website,44979,,3,Cancelled,1,Not Returned
40146,CUST2048,,Male,63,Delhi,Toys,Product_119,7,₹29996.47,167.88,₹210143.17, Standard ,App,45242,45244,2,Processing,3,Not Returned
40147,CUST1189,Customer_787,Female,63,Bangalore,Grocery,Product_164,6,₹34838.88,104.32,₹209137.60,Same Day,Mobile Web,17-06-2022,73050,11,Pending,1,Returned
40148,CUST2149,Customer_19,,33,Mumbai,Grocery,Product_193,9,61787.41,,₹556459.00,Same Day,App,44578,44581,3,Processing,1,Not Returned
40149,CUST0537,Customer_830,Female,31,Chennai,Furniture,Product_160,7,,14.41,₹435554.55,Standard,Mobile Web,45583,45598,15,Delivered,3,returned
40151,CUST0235,Customer_406,,47,Jaipur,Clothing,Product_154,3,₹17766.08,320.01,117373.67,Express,Website,21/07/2022,44659,14,Pending,5,Not Returned
40152,CUST1829,Customer_653,,50,Jaipur,Clothing,Product_57,290,₹4490.27,383.21,₹22834.56,Overnight,Website,45537,,13,Delivered,5,NOT RETURNED
40153,CUST1032,Customer_513,Female,18,  Chennai  , Sports ,Product_197,8,₹31118.90,382.29,₹249333.49,Express,Website,45339,23-02-2024,6,Delivered,3,Not Returned
40154,CUST2916,Customer_185,Female,49,Mumbai,Toys,Product_1,6,₹37119.04,40.36,₹222754.60,Same Day,Website,14/12/2024,29/12/2024,15,Returned,5,Not Returned
40156,CUST1125,Customer_637,Female,66,Bangalore,Sports,,5,₹63509.46,19357.44,317698.53,Overnight,App,45354,45357,3,Pending,1,Not Returned
40157,CUST2258,Customer_469,Male,52,Hyderabad,Grocery,Product_144,8,₹63818.27,175.67,₹510721.83,Same Day,App,26-05-2024,45449,11,Pending,5,not returned
40158,CUST2772,Customer_322,Male,28,Mumbai,Furniture,Product_81,3,₹54086.76,372.39,₹162632.67,Standard,App,31/07/2023,,8,Returned,5,Returned
40159,CUST1478,Customer_758,Female,47,Jaipur,Sports,Product_131,3,₹69204.53,499.32,₹208112.91,Overnight,App,23/08/2024,45530,3,Returned,5,Not Returned
40160,CUST2337,Customer_361,Male,52,Jaipur,Sports,,7,₹77022.25,181.87,₹539337.62,Same Day,App,13-06-2023,45094,4,Cancelled,4,returned
40162,CUST1536,Customer_699,Male,57,Pune,Health,Product_2,,₹48572.72,303.68,₹97449.12,Express,App,30-03-2024,45355,4,Processing,4,Returned
40163,CUST0715,Customer_583,Male,64,Lucknow,Beauty,Product_155,3,₹2032.70,255.16,₹6353.26,Standard,Website,22/09/2023,26-09-2023,4,Processing,5,Not Returned
40164,CUST0704,Customer_241,Male,64,Jaipur,Clothing,Product_164,10,₹32030.83,134.9,₹320443.20,Standard,Website,45536,,13, Delivered ,1,Not Returned
40165,CUST0202,  Customer_70  ,Female,35,Surat,Sports,Product_124,9,4339.01,182.17,₹39233.26,Overnight,Mobile Web,45322,45331,9,Returned,3,Not Returned
40166,CUST2472,Customer_949,Male,58,Surat,Automotive,Product_31,1,₹2731.76,459.4,₹3191.16,Express,Website,44604,44724,4,Cancelled,3,Not Returned
40167,CUST1219,Customer_733,Male,51,Mumbai,,Product_100,1,₹40542.40,459.36,₹152856.73,Standard,,44899,44754,3,Cancelled,5,Not Returned
40168,CUST1134,Customer_404,,53,Hyderabad,Toys,,3,₹9443.16,205.78,₹28535.26,Overnight,App,45217,45223,6,Pending,,Not Returned
40169,CUST2100,Customer_945,Male,55,Kolkata,Clothing,Product_145,5,₹19985.31,297.31,₹100223.86,Standard,App,44688,73050,5,Pending,5,Not Returned
40170,CUST0475,,Female,18,Hyderabad,Books,Product_113,10,₹56360.52,296.87,₹563902.07,Overnight,Website,23-03-2024,45386,12,Returned,2,not returned
40172,CUST0858,Customer_567,Female,51,Surat,Furniture,Product_50,3,₹48670.97,109.12,₹64712.05,Same Day,Mobile Web,45577,17/12/2024,7,Returned,608,Not Returned
40173,CUST1358,Customer_898,Female,37,,Sports,Product_104,7,₹57586.86,485.03,₹403593.05,Express,App,44969,45264,2, Pending ,3,Returned
40174,CUST0206,Customer_891,Male,59,Delhi,Sports,Product_127,4,₹23447.47,485.45,₹94275.33,Overnight,Website,44836,44839,3, Cancelled ,4,Not Returned
40176,CUST2121,Customer_170,Male,40,Bangalore,Books,Product_29,3,₹8020.04,107.03,₹18070.78,Same Day,Mobile Web,20-02-2022,44621,9,Returned,1,NOT RETURNED
40177,CUST2214,Customer_428,Female,51,Bangalore,Sports,Product_8,9,₹11717.90,9.91,,Overnight,Mobile Web,45484,17/11/2024,10,Delivered,5,Not Returned
40178,CUST0546,  Customer_354  ,Male,55,Chenna,Beauty,Product_181,,₹26607.67,48.07,₹26655.74,Express,Mobile Web,28-09-2023,45199,2,Pending,4,Not Returned
40179,CUST2028,Customer_627,Male,59,Mumbai,Health,Product_38,3,4243.21,356.05,₹13085.68,Express,App,45160,45165,5,Pending,4,not returned
40180,CUST1083,Customer_379,Male,42,Jaipur,Automotive,,10,₹75335.42,490.76,₹110041.36,Overnight,Website,45309,,2,Pending,1,Returned
40181,CUST2497,Customer_257,Female,32,  Mumbai  ,Electronics,Product_199,9,₹16062.63,440.86,, Standard ,Website,44724,44731,7,Returned,3,Not Returned
40182,CUST2343,Customer_968,Female,20,Bangalore,Sports,Product_127,4,₹21764.89,422.91,₹87482.47,Overnight,Website,45072,45175,14,Delivered,5,Returned
